Zipcode,Population,Total Nightlife,Total Restaurant,Total Grocery,Median Rent,Median Home Value,Nightlife per Capita,Restaurants per Capita,Grocery per Capita
60634,74901,32,131,10,1858.0,267600.0,0.4272306110732834,1.7489753140812538,0.13350956596040106
60636,34461,1,36,4,1349.0,,0.029018310553959547,1.0446591799425438,0.11607324221583819
60637,48006,6,52,4,1443.0,133600.0,0.12498437695288088,1.0831979335916342,0.08332291796858726
60638,58990,31,103,7,1634.0,215200.0,0.5255127987794541,1.746058654009154,0.11866418036955416
60639,90767,15,162,24,1719.0,232300.0,0.16525829872090075,1.7847896261857281,0.2644132779534412
60640,68258,51,189,24,1642.0,237200.0,0.7471651674528993,2.7689062087960385,0.35160713762489376
60641,69954,33,111,12,1880.0,278700.0,0.47173857106098294,1.586757011750579,0.17154129856763017
60642,19488,31,85,4,2209.0,453200.0,1.5907224958949098,4.361658456486043,0.20525451559934318
60643,51028,14,65,5,1478.0,148700.0,0.2743591753547072,1.2738104570039979,0.0979854197695383
60644,49051,3,38,3,1507.0,131100.0,0.06116083260280116,0.7747038796354815,0.06116083260280116
60645,48269,7,48,7,1620.0,215600.0,0.14502061364436802,0.9944270649899523,0.14502061364436802
60646,27865,11,43,6,2250.0,385700.0,0.39476045218015426,1.5431544948860578,0.2153238830073569
60647,87707,116,216,34,1955.0,393800.0,1.322585426476792,2.4627452768878197,0.38765434913974944
60649,44223,2,52,3,1372.0,,0.04522533523279741,1.175858716052733,0.06783800284919612
60651,61828,3,50,7,1536.0,163500.0,0.048521705376204954,0.808695089603416,0.11321731254447823
60652,43582,3,53,2,1520.0,172600.0,0.06883575788169428,1.2160983892432655,0.04589050525446285
60653,31820,4,41,4,1666.0,231300.0,0.1257071024512885,1.288497800125707,0.1257071024512885
60654,18148,127,228,4,1867.0,341400.0,6.998016310337228,12.563367864227462,0.22040996253030637
60655,28972,10,27,1,1755.0,238800.0,0.3451608449537485,0.9319342813751208,0.03451608449537484
60656,26896,6,29,3,1890.0,284600.0,0.223081499107674,1.0782272456870912,0.111540749553837
60657,70103,137,280,14,1990.0,352800.0,1.9542672924125928,3.9941229333980006,0.1997061466699
60659,40442,15,131,21,1860.0,277100.0,0.3709015380050443,3.2392067652440533,0.519262153207062
60660,42068,21,91,15,1567.0,203700.0,0.49919178472948555,2.1631644004944377,0.35656556052106114
60661,9697,24,124,7,1855.0,322800.0,2.4749922656491696,12.787460039187378,0.7218727441476745
60706,23541,14,65,9,1898.0,279300.0,0.5947071067499257,2.7611401384817977,0.3823117114820951
60707,43250,22,67,7,1839.0,249300.0,0.508670520231214,1.5491329479768785,0.16184971098265896
60803,22362,6,44,4,1560.0,163700.0,0.26831231553528306,1.9676236472587427,0.17887487702352203
60804,83735,11,53,7,1481.0,177300.0,0.13136681196632233,0.6329491849286439,0.08359706216038694
60805,19796,6,38,11,1566.0,182600.0,0.3030915336431602,1.9195797130733483,0.555667811679127
