lat,long
41.91574,-87.68841
41.91779,-87.68304
41.89523,-87.66601
41.89615,-87.69796
41.8998,-87.68204
41.91941,-87.67708
41.92681,-87.70853
41.92398,-87.70679
41.97734,-87.66338
41.95172,-87.71164
41.92021,-87.69005
42.01622,-87.6796
41.7645,-87.57248
41.91644,-87.65216
41.90091,-87.7066
41.94729,-87.70329
41.89631,-87.69999
41.89807,-87.67336
41.76469,-87.57215
41.76264,-87.57232
41.89541,-87.67537
41.94625,-87.65846
41.909,-87.67689
41.96834,-87.65851
41.89403,-87.68075
41.8991,-87.66411
41.95115,-87.74998
41.9154,-87.68721
41.91926,-87.65052
41.92182,-87.64175
41.90197,-87.67408
41.91925,-87.69096
41.94271,-87.65292
41.8529,-87.69617
41.89068,-87.62658
41.92046,-87.71656
41.96557,-87.66096
41.87094,-87.68774
41.85284,-87.69831
41.85418,-87.69619
41.85439,-87.6962
41.8539,-87.69814
41.97142,-87.67635
41.90122,-87.62933
41.90138,-87.67335
41.91727,-87.65334
41.81214,-87.61231
41.87478,-87.72131
41.92469,-87.70948
41.9425,-87.65234
41.88675,-87.7066
41.91756,-87.65142
41.88918,-87.68012
41.94084,-87.65781
41.89974,-87.62083
41.88754,-87.7073
41.87863,-87.68152
41.76587,-87.61819
41.91033,-87.68444
41.88676,-87.64253
41.89309,-87.65007
41.90531,-87.66713
41.93433,-87.73945
41.89169,-87.62105
41.82962,-87.67529
41.93583,-87.69361
41.99783,-87.66232
41.9444,-87.7302
41.82417,-87.64375
41.83618,-87.62082
41.87352,-87.62969
42.00975,-87.66467
42.01714,-87.68808
41.94642,-87.68348
41.97282,-87.66879
41.97156,-87.667
41.93924,-87.65502
41.94851,-87.68291
41.9573,-87.68006
41.92416,-87.69048
41.96885,-87.66617
42.00199,-87.66723
41.9595,-87.74891
41.90156,-87.66375
41.89671,-87.6562
41.8585,-87.66921
41.88738,-87.64557
41.91832,-87.68656
41.93147,-87.70801
41.94106,-87.68214
41.88626,-87.61632
41.91985,-87.68894
41.93711,-87.71933
41.88799,-87.643
41.96734,-87.67036
41.93028,-87.72237
41.94334,-87.65343
41.89432,-87.66416
41.91058,-87.7087
41.91165,-87.6923
41.91637,-87.7005
41.9431,-87.79461
41.91157,-87.6919
41.9734,-87.69637
41.92409,-87.68419
42.00386,-87.66209
41.96318,-87.70387
41.97129,-87.69619
41.71277,-87.66598
41.9315,-87.71481
41.88806,-87.63422
41.91058,-87.6309
41.96945,-87.69439
41.65156,-87.54165
41.94782,-87.68428
41.8984,-87.69673
41.8324,-87.61058
41.98615,-87.69921
41.87207,-87.62999
41.89259,-87.66999
41.86159,-87.64795
41.98937,-87.66698
41.95576,-87.72881
41.89681,-87.65513
41.94571,-87.65136
41.89592,-87.63466
42.00663,-87.68544
41.80852,-87.59589
41.84968,-87.67627
41.93521,-87.71096
41.88745,-87.61732
41.8503,-87.6324
41.90064,-87.67056
41.90093,-87.62102
41.91241,-87.63807
41.89825,-87.66731
41.79119,-87.59099
41.94242,-87.6802
41.91386,-87.63906
41.91205,-87.63928
